Name,Bereich,Link,Email,Ort,Hinweis,Einrichtung,Standort,Status (Trinh),Webseite,Art,Niveau,Aktion,Gmail,Startdatum,Status Phuong|Hofa,Status - Trung (Hanoi),Status Minh (Berlin),Cong|Refa|München,Last edited time,Status Quynh|Hofa
Ausbildung Pflegefachmann / -frau (m/w/d),Pflege,https://www.ausbildung.de/stellen/ausbildung-pflegefachmann-frau-m-w-d-bei-evangelische-stiftung-neuerkerode-in-braunschweig-21b922a2-ad62-43ce-8f69-af181e21f8fb/,,Niedersachsen,,Evangelische Stiftung Neuerkerode,,keine Email,"Ev.-luth. Diakonissenanstalt Marienstift - Helmstedter Str. 35, 38102 Braunschweig",,keine Angabe,"October 22, 2022",,,Not started,Not started,Not started,Not started,"November 6, 2022 11:05 PM",Not started
,,,,,,,,,,,,,,,Not started,Not started,Not started,Not started,"October 21, 2022 9:18 PM",Not started
Auszubildende Fachmann /-frau für Restaurant- und Veranstaltungsgastronomie (m/w/d) ab Februar 2023,Restaurant,https://www.hotelcareer.de/jobs/east-hotel-hamburg-2427/auszubildende-fachmann-frau-f%C3%BCr-restaurant-und-veranstaltungsgastronomie-3149675?rltr=mb,,Hamburg,,east Hotel Hamburg,,Email gesendet,,Hotel,,,https://mail.google.com/mail/u/4/#sent/KtbxLxGrTljKXWrLCHCXgkjfbDkfrJXhZg,,Not started,Not started,Not started,Not started,"November 29, 2022 10:38 PM",Not started
Azubi Restaurantfachmann / Restaurantfachfrau (m/w/d),Restaurant,https://www.hotelcareer.de/jobs/hobenk%C3%B6%C3%B6k-gmbh-101088/azubi-restaurantfachmann-restaurantfachfrau-m-w-d-3182691?rltr=mb,,Hamburg,,Hobenköök GmbH,,offline,,Restaurant,,,,,Not started,Not started,Not started,Not started,"November 29, 2022 8:38 PM",Not started
Restaurantfachkraft ist mehr als Kellnern,Restaurant,https://www.arbeitsagentur.de/jobsuche/jobdetail/ibpCbzAl3IEYg3JscolyWT-0OPBkCZzZm7tSoQWYweA%3D,,Hamburg,,Restaurant Wilhelms im Wälderhaus,,Email gesendet,,Gastronomie,,,,,Not started,Not started,Not started,Not started,"November 29, 2022 9:01 PM",Not started
Ausbildung Fachfrau/-mann für Restaurants und Veranstaltungsgastronomie (m/w/d),Restaurant,https://www.ausbildung.de/stellen/ausbildung-fachfrau-mann-fuer-restaurants-und-veranstaltungsgastronomie-m-w-d-bei-marriott-international-in-hamburg-c62f356b-43c7-43f0-9bd9-d5d1d6614efc/,,Hamburg,,Westin Hotels,,Absage,,Hotel,,,https://mail.google.com/mail/u/4/#inbox/KtbxLxGLgVZlDLHnnTlWDSkVwcSbBqWVtL,,Not started,Not started,Not started,Not started,"December 13, 2022 9:58 PM",Not started
Ausbildung Fachfrau/Fachmann für Restaurants & Veranstaltungsgastronomie (m/w/d),Restaurant,https://www.ausbildung.de/stellen/ausbildung-fachfrau-fachmann-fuer-restaurants-veranstaltungsgastronomie-m-w-d-bei-deutsche-hospitality-in-hamburg-a4333a0d-7813-4016-9285-cc043fcd90d7/,,Hamburg,,Steigenberger Treudelberg,,Email gesendet,,Hotel,,,,,Not started,Not started,Not started,Not started,"November 29, 2022 10:15 PM",Not started
Wir bilden aus: Fachleute für Restaurant u. Veranstaltungsgastronomie - Februar 2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1189764686-S,,Hamburg,,Empire Riverside GmbH & Co. KG,,Email gesendet,,Hotel,,,,,Not started,Not started,Not started,Not started,"November 29, 2022 10:26 PM",Not started
Azubis gesucht! Ausbildung Fachl. Restaurant u. Veranstaltungsgastronome im 4*-Hotel ab Februar 2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1189765780-S,,Hamburg,Gleiche Person wie Empire Riverside,Hotel Hafen Hamburg Wilhelm Bartels GmbH & Co. KG,,doppelt,,Hotel,,,,,Not started,Not started,Not started,Not started,"November 30, 2022 8:30 PM",Not started
Werde ein Teil unseres Teams im 4* Baseler Hof - Februar 2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1190058284-S,personalbuero@baselerhof.de,Hamburg,file:///Users/biennguyen/Downloads/Ausbildung_Folder_03_2015_Flyer.pdf,Baseler Hof GmbH & Co. KG,,Bewerbungsgespräch,,Hotel,,,,,Not started,Not started,Not started,Not started,"December 20, 2022 10:59 PM",Not started
Wir suchen Dich! Ausbildung im 5*SIDE Design Hotel--Februar 2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1189810118-S,personal@side-hamburg.de,Hamburg,Momentan keine Ausbildungsplätze,SIDE SIDE Hamburg GmbH & Co. KG,,Absage,,Hotel,,,https://mail.google.com/mail/u/4/#inbox/QgrcJHrhvWZhVcBkKjjQNQTxDpCXpTWTgpB,,Not started,Not started,Not started,Not started,"December 3, 2022 3:33 PM",Not started
Fachmann/-frau - Systemgastronomie,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1190768582-S,bewerbung@sashimi-sushi.de,Hamburg,Kein Interesse an Sushi,SSCBG Sashimi Sushi City Betriebsgesellschaft mbH,,Absage,,Restaurant,,,https://mail.google.com/mail/u/4/#inbox/QgrcJHrttjpwVgLpLDDjqqmMvGJTNMzpfZQ,,Not started,Not started,Not started,Not started,"December 8, 2022 9:29 PM",Not started
jetzt bewerben! Ausbildungsbeginn Februar 2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1190165331-S,hamburg@deananddavid.com,Hamburg,,dean&david Hamburg,,Email gesendet,,Restaurant,,,,,Not started,Not started,Not started,Not started,"November 30, 2022 10:47 PM",Not started
Wir suchen Dich! PIERDREI Hotel HafenCity Hamburg - Start: August 2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1191117157-S,jobs@pierdrei-hotel.de,Hamburg,Beginnt erst im August,ABH Besucherhaus GmbH,,Hinweis ➡️,,Hotel,,,,,Not started,Not started,Not started,Not started,"December 1, 2022 4:38 PM",Not started
Ausbildung im 4-Sterne Superior Designhotel *Februar 2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1190033854-S,,Hamburg,,East Hotel & Restaurant GmbH,,doppelt,,Hotel,,,,,Not started,Not started,Not started,Not started,"December 1, 2022 4:19 PM",Not started
Werde Teil unseres Team! Ausbildungsplätze Februar 2023!,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1190053007-S,,Hamburg,mailto:bewerbung@hi-hamburg.de,Hotel Holiday Inn HHI Hamburg Betriebs GmbH,,Absage,,Hotel,,,https://mail.google.com/mail/u/4/#inbox/KtbxLvhZhmHnPNxdwtzZwGfSBdrjgvBvTL,,Not started,Not started,Not started,Not started,"December 3, 2022 3:33 PM",Not started
Wir bilden aus! Ausbildungsplatz im 4*-Hotel am Berliner Tor,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1190748747-S,katja.wystrichowski-senis@phhhcc.de,Hamburg,,AGO Betreibergesellschaft mbH,,Email gesendet,,Hotel,,,,,Not started,Not started,Not started,Not started,"December 1, 2022 4:35 PM",Not started
Fachmann/-frau Systemgastronomie gesucht!,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1190525118-S,,Hamburg,mailto:info@hansekai.hamburg,Event Hansekai GmbH,,,,Restaurant,,,,,Not started,Not started,Not started,Not started,"December 1, 2022 6:24 PM",Not started
Fachmann/-frau - Restaurants und Veranstaltungsgastronomie (m/w/d) ab sofort,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1186471229-S,info@landhausscherrer.de,Hamburg,"Online. Sehr schlechte Bewertung.
https://www.kununu.com/de/landhaus-scherrer1/kommentare",Landhaus Scherrer GmbH,,Email ready,,Hotel,,,,01.02.2023,Not started,Not started,Not started,Not started,"December 12, 2022 4:15 PM",Not started
Ausbildung als Fachmann/-frau für Restaurants und Veranstaltungsgastronomie (m/w/d) 01.02.2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1191507538-S,,Hamburg,,Mr. Jones GmbH The Bar und Restaurant Locks,,,,Restaurant,,,,,Not started,Not started,Not started,Not started,"November 10, 2022 1:29 AM",Not started
Best Western Plus Hotel Böttcherhof sucht Azubis *Ausstattung mit einem iPad*,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1190064066-S,personal@boettcherhof.com,Hamburg,,JMB Hotel-Betriebsgesellschaft mbH,,Bewerbungsgespräch,,Hotel,,,https://mail.google.com/mail/u/4/#inbox/FMfcgzGrbbtFbmhCnlDWMPXWNgTJgvjw,01.02.2023,Not started,Not started,Not started,Not started,"December 14, 2022 5:56 PM",Not started
Ausbildung Fachmann/-frau für Systemgastronomie (m/w/d) - VZ,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=12280-1601255.2022-S,,Hamburg,McDonalds. Vorweg kein Interesse.,SJ Gastro 6 GmbH,,nicht möglich,,Restaurant,,,,,Not started,Not started,Not started,Not started,"December 8, 2022 9:38 PM",Not started
Ausbildung in der Privathotellerie zum 01.08.2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1190774877-S,hotel@zumzeppelin.de,Hamburg,Beginnt erst im August,Hotel-Restaurant zum Zeppelin GmbH,,Hinweis ➡️,,Hotel,,,,,Not started,Not started,Not started,Not started,"December 8, 2022 9:32 PM",Not started
Ausbildung Fachmann/-frau - Restaurants und Veranstaltungsgastronomie (m/w/d) Februar 2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1190542094-S,info@landhaus-ohlstedt.de,Hamburg,,Landhaus Ohlstedt Inh. Joscha Weggenmann,,Email gesendet,,Hotel,,,,01.02.2023,Not started,Not started,Not started,Not started,"December 12, 2022 4:01 PM",Not started
Ausbildung Fachmann/-frau für Systemgastronomie (m/w/d) - VZ,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=12280-1600370.2022-S,,Hamburg,McDonalds. Vorweg kein Interesse.,Amend Restaurantbetrieb August-Krogmann-Straße,,nicht möglich,,Restaurant,,,,,Not started,Not started,Not started,Not started,"December 8, 2022 9:14 PM",Not started
Wir suchen Dich! Ausbildung im modernen 4-Sterne superior Hotel an der Elbe...,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&kundennummer=YM-0jaFxQLp9Og-YvpQIVmCSE_1uJWSZHsP1iK59SB4%3D__del__Rilano%20Group%20GmbH%20The%20Rilano%20Hotel%20Hamburg,verwaltung-hamburg@rilano.com,Hamburg,Ausbildung zur Küche,Rilano Group GmbH The Rilano Hotel Hamburg,,nicht möglich,,Hotel,,,,,Not started,Not started,Not started,Not started,"December 8, 2022 9:34 PM",Not started
Fachmann/-frau - Restaurants und Veranstaltungsgastronomie,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1190805136-S,personal@wildpark-schwarze-berge.de,Hamburg,Führerschein Zwingend erforderlich,Wildpark Schwarze Berge GmbH & Co. KG,,nicht möglich,,Hotel,,,,,Not started,Not started,Not started,Not started,"December 1, 2022 8:31 PM",Not started
Ausbildung Fachmann/-frau für Systemgastronomie (m/w/d) - VZ,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=12280-2022-44289-0-S,,Hamburg,,Petersen-Hanson Familienrestaurant KG,,keine Email,,Restaurant,,,,,Not started,Not started,Not started,Not started,"December 1, 2022 4:09 PM",Not started
Fachmann/-frau - Restaurants und Veranstaltungsgastronomie,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Hamburg&umkreis=25&id=10000-1191093048-S,info@boettchers-gasthaus.de,Hamburg,,Böttcher's Gasthaus Inh Gustav Böttcher Hotel-Restaurant,,Email ready,,Hotel,,,https://mail.google.com/mail/u/4/#inbox/FMfcgzGrbbtFbmhCnlDWMPXWNgTJgvjw,01.08.2023,Not started,Not started,Not started,Not started,"December 14, 2022 1:04 AM",Not started
Auszubildende Restaurantfachfrau / Restaurantfachmann (m/w/d),Restaurant,https://www.hotelcareer.de/jobs/grand-elysee-hamburg-1053/auszubildende-restaurantfachfrau-restaurantfachmann-m-w-d-2925527?rltr=mb,karriere@grand-elysee.com,Hamburg,,Grand Elysée Hamburg,,Email gesendet,,Hotel,,,,01.02.2023,Not started,Not started,Not started,Not started,"December 12, 2022 3:53 PM",Not started
Ausbildungsplatz in der Spitzengastronomie 2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/jobdetail/s3y34-Z7h66-TWiVaos0Pp6ZII9XYVcRIUa2HeH3j44%3D,A.Monesi@hafen-klub-gastronomie.de,Hamburg,,Hafen-Klub Hamburg Gastronomie GmbH,,,,Gastronomie,,,,,Not started,Not started,Not started,Not started,"January 9, 2023 11:31 PM",Not started
Auszubildende Restaurant- und Veranstaltungsfachfrau / -mann,Restaurant,https://www.stepstone.de/stellenangebote--Auszubildende-Restaurant-und-Veranstaltungsfachfrau-mann-m-w-d-zum-01-02-2023-Berlin-Mercure-Hotel-MOA-Berlin--8640250-inline.html,,Berlin,Gute Englischkenntnisse,Mercure Hotel MOA Berlin,"Stephanstraße 41, 10559 Berlin",,,Hotel,,,,01.02.2023,Not started,Not started,Archiv,Not started,"January 16, 2023 9:02 PM",Not started
Restaurantfachmann/-frau,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurantfachmann%2F-frau&beruf=Restaurantfachmann%2F-frau&wo=Berlin&umkreis=25&id=10000-1190282143-S,,Berlin,Gute Englischkenntnisse,Waldhotel Schmöckwitz GmbH,"• Schmöckwitzer Damm 1g, 12527 Berlin",,,Hotel,,,,,Not started,Not started,Archiv,Not started,"January 16, 2023 9:03 PM",Not started
Ausbildung Restaurantfachmann m/w/d 2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurantfachmann%2F-frau&beruf=Restaurantfachmann%2F-frau&wo=Berlin&umkreis=25&id=10000-1191390517-S,ausbildung@clinton.de,Berlin,,Clinton Großhandels - GmbH,"• Handwerkerstr. 19, 15366 Hoppegarten (Mark)",,,Gastronomie,,,,ab 01.09.2023,Not started,Not started,Absage,Not started,"February 13, 2023 10:05 PM",Not started
"*02/23* Ausbildung z. Restaurantfachmann/-frau in der ""Luise""",Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurantfachmann%2F-frau&beruf=Restaurantfachmann%2F-frau&wo=Berlin&umkreis=25&id=10000-1191065704-S,schneeberger@luisedahlem.de,Berlin,,Luise Gastronomie-Handel GmbH & Co KG,"Königin-Luise-Str. 40
14195 Berlin",,,Gastronomie,,,,ab 01.02.2023,Not started,Not started,2. Email gesendet,Not started,"February 13, 2023 9:07 PM",Not started
**2023** Ausbildungsplatz in Restaurant mit deutscher Küche,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurantfachmann%2F-frau&beruf=Restaurantfachmann%2F-frau&wo=Berlin&umkreis=25&id=10000-1191066194-S,holgergohlke@arcor.de,Berlin,,Kronprinz GbR Gasthaus Kronprinz,"Clayallee 323
14169 Berlin",,,Gastronomie,,,,ab 01.02.2023,Not started,Not started,2. Email gesendet,Not started,"February 13, 2023 8:42 PM",Not started
Auszubildende Restaurantfachfrau/-mann (m/w/d),Restaurant,https://www.hogapage.de/jobs/auszubildende-restaurantfachfrau-mann-in-berlin/IYVM0L/?utm_medium=API&utm_source=arbeitsamt,bewerbung@hopfingerbraeu-berlin.de,Berlin,,Hopfingerbräu am Brandenburger Tor,Hopfingerbräu am Brandenburger Tor,,,Gastronomie,,,,Ab sofort,Not started,Not started,2. Email gesendet,Not started,"February 13, 2023 8:38 PM",Not started
Ausbildungsplätze als Fachmann/frau m/w/d für Restaurants und Systemgastronomie,Restaurant,https://www.hogapage.de/jobs/auszubildende-fachfrau-mann-fuer-restaurants-und-veranstaltungsgastronomie-in-berlin/EKMXII/,,,Gute Englischkenntnisse,Park Inn by Radisson Berlin Alexanderplatz Hotel,"Alexanderplatz 7, 10178 Berlin, Deutschland",,,Hotel,,,,Ab sofort,Not started,Not started,Archiv,Not started,"February 2, 2023 12:33 AM",Not started
Ausbildung Fachmann/ Fachfrau für Restaurants und Veranstaltungsgastronomie m/w/d,Restaurant,https://www.hogapage.de/jobs/auszubildende-restaurantfachfrau-mann-in-berlin/XN6EQD/,karriere@estrel.com,Berlin,,Estrel Hotel Betriebs GmbH,"Sonnenallee 225, 12057 Berlin, Deutschland",,,Hotel,,,,Ab sofort,Not started,Not started,Absage,Not started,"January 23, 2023 7:17 PM",Not started
Azubi Fachkraft für Restaurants & Veranstaltungen (m/w/d),Restaurant,https://www.hogapage.de/jobs/auszubildende-restaurantfachfrau-mann-in-berlin/D95PWS/,personal@centrovital-berlin.de,Berlin,,centrovital,"Brauereihof 6, 13585 Berlin, Deutschland",,,Hotel,,,,01. August 2023,Not started,Not started,Absage,Not started,"February 13, 2023 8:47 PM",Not started
Auszubildende Fachmann/Fachfrau für Restaurants und Veranstaltungsgastronomie (m/w/d),Restaurant,https://www.hogapage.de/jobs/auszubildende-fachfrau-mann-fuer-restaurants-und-veranstaltungsgastronomie-in-leipzig/B75DC0/,,Berlin,,The Westin Leipzig,"Gerberstraße 15, 04105 Leipzig, Deutschland",,,Hotel,,,,01.08.2023,Not started,Not started,Absage,Not started,"January 18, 2023 6:32 PM",Not started
Auszubildende Fachkraft im Gastgewerbe (m/w/d),Restaurant,https://www.hogapage.de/jobs/ausbildung-fachwirt-in-im-gastgewerbe-in-berlin/RKUTJH/,bewerbung@lindenbraeu-berlin.de,Berlin,Kopie von Hopfenbräu,Lindenbräu am Potsdamer Platz,"Bellevuestraße 3-5, 10785 Berlin, Deutschland",,,Gastronomie,,,,Ab sofort,Not started,Not started,Archiv,Not started,"January 17, 2023 12:17 AM",Not started
Ausbildung zum Fachmann / Fachfrau für Systemgastronomie m/w/d,Restaurant,https://www.hogapage.de/jobs/auszubildende-fachfrau-mann-fuer-restaurants-und-veranstaltungsgastronomie-in-berlin/92IZGW/,recruiting@mcdonalds.de,Berlin,,McDonald's Deutschland LLC,"Europaplatz 1 (HBF), 10557 Berlin, Deutschland",,,Gastronomie,,,,01.08.2023,Not started,Not started,Email gesendet,Not started,"January 17, 2023 4:11 PM",Not started
Auszubildende m/w/d Restaurantfachfrau/-mann,Restaurant,https://www.hogapage.de/jobs/auszubildende-fachfrau-mann-fuer-restaurants-und-veranstaltungsgastronomie-in-berlin/NX5H94/,office@cafeeinstein.com,Berlin,Ist geschlossen,Café Einstein Verwaltungs- und Betriebs GmbH - Café Einstein Stammhaus,"Kurfürstenstrasse 58, 10785 Berlin, Deutschland",,,Gastronomie,,,,Nach Vereinbarung,Not started,Not started,Archiv,Not started,"January 17, 2023 12:13 AM",Not started
Auszubildende Fachkraft Systemgastronomie m/w/d,Restaurant,https://www.hogapage.de/jobs/auszubildende-fachkraft-systemgastronomie-in-berlin/8A6IPN/,,Berlin,Führerschein,aveato GmbH - aveato Catering Berlin,"Ringbahnstr. 22-30, 12099 Berlin, Deutschland",,,Gastronomie,,,,Ab sofort,Not started,Not started,Archiv,Not started,"January 16, 2023 9:01 PM",Not started
Ausbildung Fachmann (m/w/d) für Systemgastronomie - Berlin Niederschönwalde,Restaurant,https://www.hogapage.de/jobs/auszubildende-fachkraft-systemgastronomie-in-berlin/G0ISHE/,personal@jb.de,Berlin,Konnte nicht am Skype Gespräch teilnehmen,Konditorei Junge GmbH,"Schnellerstraße 19, 12439 Berlin, Deutschland",,,Gastronomie,,,,01.08.2023,Not started,Not started,Absage,Not started,"February 13, 2023 7:21 PM",Not started
Du entlockst gern ein Lachen? Werde Restaurantfachfrau m/w/d,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurantfachmann%2F-frau&wo=Berlin&umkreis=25&id=10000-1192109108-S,info@hotel-bernau.de,Berlin,,ZICKENSCHULZE Hotel & Restaurant GmbH,"Brauerstr. 2, 16321 Bernau bei Berlin",,,Gastronomie,,,,ab sofort,Not started,Not started,2. Email gesendet,Not started,"February 13, 2023 8:45 PM",Not started
